"","site.name","month","monthly_mean_pm2.5_2022_from_pm2.5","mean_pm2.5_2022_from2.5","monthly_mean_pm2.5_2023_from_pm2.5","mean_pm2.5_2023_from2.5"
"1","Anoka County Airport","January",8.2725,5.98663793103448,9.4421052631579,8.72442922374429
"2","Anoka County Airport","February",8.2,5.98663793103448,7.91351351351351,8.72442922374429
"3","Anoka County Airport","March",5.8025,5.98663793103448,5.71666666666667,8.72442922374429
"4","Anoka County Airport","April",4.11538461538461,5.98663793103448,4.66666666666667,8.72442922374429
"5","Anoka County Airport","May",4.82285714285714,5.98663793103448,7.96410256410256,8.72442922374429
"6","Anoka County Airport","June",6.075,5.98663793103448,18.35,8.72442922374429
"7","Anoka County Airport","July",5.38292682926829,5.98663793103448,8.67741935483871,8.72442922374429
"8","Anoka County Airport","August",4.86842105263158,5.98663793103448,9.45263157894737,8.72442922374429
"9","Anoka County Airport","September",4.695,5.98663793103448,9.34285714285714,8.72442922374429
"10","Anoka County Airport","October",6.91219512195122,5.98663793103448,5.91935483870968,8.72442922374429
"11","Anoka County Airport","November",6.1475,5.98663793103448,6.89666666666667,8.72442922374429
"12","Anoka County Airport","December",6.503125,5.98663793103448,9.41935483870968,8.72442922374429
"13","FWS Wetland Management District","January",4.7962962962963,5.23934911242604,10.9096774193548,9.2760989010989
"14","FWS Wetland Management District","February",5.2875,5.23934911242604,6.35,9.2760989010989
"15","FWS Wetland Management District","March",3.96129032258065,5.23934911242604,6.41935483870968,9.2760989010989
"16","FWS Wetland Management District","April",3.108,5.23934911242604,5.78333333333333,9.2760989010989
"17","FWS Wetland Management District","May",6.62258064516129,5.23934911242604,10.17,9.2760989010989
"18","FWS Wetland Management District","June",6.52333333333333,5.23934911242604,16.8,9.2760989010989
"19","FWS Wetland Management District","July",5.37096774193548,5.23934911242604,12.1225806451613,9.2760989010989
"20","FWS Wetland Management District","August",4.68709677419355,5.23934911242604,13.9096774193548,9.2760989010989
"21","FWS Wetland Management District","September",5.26315789473684,5.23934911242604,13.7866666666667,9.2760989010989
"22","FWS Wetland Management District","October",6.14516129032258,5.23934911242604,4.50645161290323,9.2760989010989
"23","FWS Wetland Management District","November",4.13666666666667,5.23934911242604,4.89666666666667,9.2760989010989
"24","FWS Wetland Management District","December",6.66428571428571,5.23934911242604,5.53870967741936,9.2760989010989
"25","Red Lake Nation","January",6.95806451612903,4.65115606936416,6.86129032258065,8.22659279778393
"26","Red Lake Nation","February",8.20714285714286,4.65115606936416,3.12142857142857,8.22659279778393
"27","Red Lake Nation","March",6.08148148148148,4.65115606936416,2.90967741935484,8.22659279778393
